eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
2960,100,7.99818536040491E-10,5.5249388672892215E-17,10,10
2980,100,1.5859960556337934E-9,1.1578666472691572E-16,10,10
3000,100,1.5859951646229888E-9,1.157866675816625E-16,10,10
3020,100,1.5859951146030567E-9,1.157866677419274E-16,10,10
3040,100,5.230989827695294E-9,1.4327066393293258E-15,10,10
3060,100,4.444812877997728E-9,1.3779584736382432E-15,10,10
3080,100,4.4448208786587446E-9,1.3779584018068132E-15,10,10
3100,100,4.444820878861659E-9,1.377958401804998E-15,10,10
3120,100,4.444820840583298E-9,1.3779584021487158E-15,10,10
3140,100,7.4021112388697536E-9,2.2259602563155628E-15,10,10
3160,100,7.402118449040212E-9,2.2259601485308743E-15,10,10
3180,100,5.11584402963427E-9,1.4164150088147424E-15,10,10
3200,100,5.115845508648924E-9,1.4164149935292984E-15,10,10
3220,100,5.107227515695606E-9,1.4164964838788532E-15,10,10
3240,100,4.364048415459377E-9,1.3678170270471252E-15,10,10
3260,100,4.3640478981606305E-9,1.3678170316077446E-15,10,10
3280,100,4.364047898158818E-9,1.3678170316077569E-15,10,10
3300,100,4.361488575236086E-9,1.3678389275818843E-15,10,10
3320,100,3.6945070027535765E-9,1.3283304484409592E-15,10,10
3340,100,3.6945056160705747E-9,1.3283304587905293E-15,10,10
3360,100,3.6957172063580668E-9,1.3283215627053762E-15,10,10
3380,100,3.6957172106318807E-9,1.3283215626734624E-15,10,10
3400,100,3.695717209991418E-9,1.3283215626782508E-15,10,10
3420,100,3.6957167701004255E-9,1.328321565962486E-15,10,10
3440,100,3.693231570187234E-9,1.328339241243396E-15,10,10
3460,100,3.6929233168535365E-9,1.3283415314503083E-15,10,10
3480,100,3.692923316061092E-9,1.3283415314562289E-15,10,10
3500,100,3.6930991677268397E-9,1.328340222624418E-15,10,10
3520,100,3.693077105779135E-9,1.3283403871746755E-15,10,10
3540,100,3.6930771057828607E-9,1.3283403871746467E-15,10,10
3560,100,3.691689411288552E-9,1.328350587074742E-15,10,10
3580,100,3.6916894086822493E-9,1.3283505870941702E-15,10,10
3600,100,3.6916894086838524E-9,1.328350587094165E-15,10,10
3620,100,3.6916894087375823E-9,1.3283505870937564E-15,10,10
3640,100,3.691693332055766E-9,1.3283505578353496E-15,10,10
3660,100,3.691691829154333E-9,1.328350569043693E-15,10,10
3680,100,3.691078308082909E-9,1.328353380474033E-15,10,10
3700,100,3.6915058007868706E-9,1.3283502110539635E-15,10,10
3720,100,3.6915064657336443E-9,1.3283502060951107E-15,10,10
3740,100,3.689660259976554E-9,1.3283633552055398E-15,10,10
3760,100,1.3623587474099198E-8,1.1122608253875503E-14,10,10
3780,100,1.3623586045698935E-8,1.1122608293188317E-14,10,10
3800,100,1.3623158553357704E-8,1.1122620040157623E-14,10,10
3820,100,1.3595784292797269E-8,1.1123296973097408E-14,10,10
3840,100,1.3596893851699018E-8,1.1123266620803134E-14,10,10
3860,100,1.3596895501305272E-8,1.1123266575491204E-14,10,10
3880,100,1.395102938147203E-8,1.1126082125401694E-14,10,10
3900,100,1.3951028924493486E-8,1.1126082138280917E-14,10,10
3920,100,1.3951030720273201E-8,1.1126082087669204E-14,10,10
3940,100,1.3951030835553583E-8,1.1126082084420189E-14,10,10
3960,100,1.3976752953304343E-8,1.1125389883747163E-14,10,10
3980,100,1.3976752943370619E-8,1.1125389884027652E-14,10,10
4000,100,1.3963897186643922E-8,1.1125736001871634E-14,10,10
4020,100,1.3964281571324352E-8,1.1125725173196001E-14,10,10
4040,100,1.3963364897202918E-8,1.1125750947460024E-14,10,10
4060,100,1.3963364870663854E-8,1.1125750948208674E-14,10,10
